type,run_number,parseable,EM,DFA-EQ@1,DFA-EQ@3,DFA-EQ@10,pass_at_1,pass_at_3,pass_at_10,vul@1_rescue,vul@3_rescue,vul@10_rescue,vul@1_redos,vul@3_redos,vul@10_redos
raw,0,0.2332020997375328,22.440944881889763,8.005249343832022,10.892388451443571,15.485564304461944,23.32020997375328,31.03127734033246,38.976377952755904,0.2887139107611548,1.057159521726451,1.837270341207349,3.2677165354330713,6.010498687664042,10.892388451443571
refined,0,0.15078740157480314,12.72965879265092,6.955380577427822,15.091863517060366,24.146981627296586,15.078740157480317,21.761811023622045,27.69028871391076,0.02624671916010498,0.13123359580052493,0.26246719160104987,1.7191601049868765,2.8674540682414698,4.986876640419948
raw,3,0.5,500.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0
refined,3,0.45,450.0,50.0,50.0,50.0,45.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0
raw,4,0.2368766404199475,23.228346456692915,8.136482939632545,11.548556430446194,14.698162729658792,23.68766404199475,31.34951881014873,38.976377952755904,0.3018372703412074,1.1186101737282839,1.7060367454068242,2.8215223097112863,5.007655293088364,9.05511811023622
refined,4,0.1468503937007874,10.104986876640421,6.824146981627297,12.860892388451445,22.178477690288716,14.685039370078739,21.019247594050743,27.296587926509186,0.01312335958005249,0.06561679790026247,0.13123359580052493,1.811023622047244,2.957130358705162,4.8556430446194225
raw,2,0.2398950131233596,24.409448818897637,7.480314960629922,10.498687664041995,14.566929133858267,23.98950131233596,31.48840769903762,38.71391076115486,0.2887139107611549,1.221722284714411,2.099737532808399,3.149606299212598,5.637576552930884,9.711286089238845
refined,2,0.15078740157480314,12.46719160104987,7.742782152230972,13.254593175853019,23.753280839895012,15.078740157480317,21.024715660542434,27.69028871391076,0.039370078740157466,0.19685039370078738,0.39370078740157477,1.719160104986877,2.9330708661417324,5.2493438320209975
raw,1,0.24120734908136482,22.30971128608924,9.05511811023622,12.073490813648293,15.879265091863518,24.120734908136484,31.80883639545057,38.71391076115486,0.35433070866141736,1.3097321168187308,1.968503937007874,2.9921259842519685,5.207786526684164,8.398950131233596
refined,1,0.14488188976377953,11.811023622047244,6.955380577427822,12.335958005249344,21.25984251968504,14.488188976377952,20.43307086614173,26.902887139107612,0.039370078740157466,0.19685039370078738,0.39370078740157477,1.6404199475065617,2.559055118110236,4.0682414698162725
